Sample Rate:	1000.000000
Time (s)	ECG	GSC
0.000000	0.000466	0.000000
0.001000	0.002221	0.000001
0.002000	0.005331	0.000003
0.003000	0.009104	0.000006
0.004000	0.012809	0.000010
0.005000	0.015983	0.000015
0.006000	0.018522	0.000021
0.007000	0.020535	0.000028
0.008000	0.022236	0.000035
0.009000	0.023817	0.000044
0.010000	0.025262	0.000053
0.011000	0.026295	0.000064
0.012000	0.026576	0.000075
0.013000	0.026079	0.000088
0.014000	0.025096	0.000101
0.015000	0.023933	0.000115
0.016000	0.022820	0.000130
0.017000	0.021929	0.000145
0.018000	0.021260	0.000162
0.019000	0.020724	0.000179
0.020000	0.020351	0.000198
0.021000	0.020173	0.000217
0.022000	0.020104	0.000237
0.023000	0.020055	0.000257
0.024000	0.020063	0.000279
0.025000	0.020218	0.000301
0.026000	0.020520	0.000324
0.027000	0.020938	0.000348
0.028000	0.021461	0.000373
0.029000	0.021951	0.000398
0.030000	0.022234	0.000425
0.031000	0.022327	0.000452
0.032000	0.022339	0.000479
0.033000	0.022300	0.000508
0.034000	0.022208	0.000537
0.035000	0.022107	0.000567
0.036000	0.022066	0.000597
0.037000	0.022107	0.000628
0.038000	0.022222	0.000660
0.039000	0.022425	0.000693
0.040000	0.022612	0.000726
0.041000	0.022598	0.000760
0.042000	0.022375	0.000795
0.043000	0.022052	0.000830
0.044000	0.021727	0.000866
0.045000	0.021552	0.000903
0.046000	0.021654	0.000940
0.047000	0.021969	0.000978
0.048000	0.022317	0.001017
0.049000	0.022639	0.001056
0.050000	0.022921	0.001096
0.051000	0.023081	0.001136
0.052000	0.023050	0.001177
0.053000	0.022782	0.001218
0.054000	0.022295	0.001260
0.055000	0.021710	0.001303
0.056000	0.021178	0.001346
0.057000	0.020849	0.001390
0.058000	0.020843	0.001435
0.059000	0.021091	0.001480
0.060000	0.021332	0.001525
0.061000	0.021399	0.001571
0.062000	0.021351	0.001618
0.063000	0.021285	0.001665
0.064000	0.021238	0.001712
0.065000	0.021267	0.001760
0.066000	0.021401	0.001809
0.067000	0.021628	0.001858
0.068000	0.022151	0.001908
0.069000	0.023258	0.001958
0.070000	0.024640	0.002008
0.071000	0.025503	0.002059
0.072000	0.025521	0.002111
0.073000	0.025087	0.002163
0.074000	0.024632	0.002215
0.075000	0.024138	0.002268
0.076000	0.023426	0.002321
0.077000	0.022535	0.002375
0.078000	0.021622	0.002429
0.079000	0.020750	0.002484
0.080000	0.019909	0.002539
0.081000	0.019125	0.002594
0.082000	0.018425	0.002650
0.083000	0.017743	0.002706
0.084000	0.017046	0.002763
0.085000	0.016526	0.002820
0.086000	0.016414	0.002877
0.087000	0.016692	0.002935
0.088000	0.017079	0.002993
0.089000	0.017372	0.003051
0.090000	0.017707	0.003110
0.091000	0.018181	0.003169
0.092000	0.018590	0.003229
0.093000	0.018802	0.003289
0.094000	0.018911	0.003349
0.095000	0.019059	0.003410
0.096000	0.019363	0.003470
0.097000	0.019769	0.003532
0.098000	0.019959	0.003593
0.099000	0.019670	0.003655
0.100000	0.018889	0.003717
0.101000	0.017785	0.003780
0.102000	0.016688	0.003842
0.103000	0.015905	0.003905
0.104000	0.015371	0.003969
0.105000	0.014735	0.004032
0.106000	0.013829	0.004096
0.107000	0.012821	0.004160
0.108000	0.012005	0.004225
0.109000	0.011599	0.004289
0.110000	0.011703	0.004354
0.111000	0.012223	0.004419
0.112000	0.012864	0.004485
0.113000	0.013410	0.004551
0.114000	0.013896	0.004616
0.115000	0.014297	0.004683
0.116000	0.014410	0.004749
0.117000	0.014197	0.004815
0.118000	0.013874	0.004882
0.119000	0.013648	0.004949
0.120000	0.013581	0.005016
0.121000	0.013650	0.005084
0.122000	0.013858	0.005151
0.123000	0.014236	0.005219
0.124000	0.014740	0.005287
0.125000	0.015134	0.005355
0.126000	0.015191	0.005424
0.127000	0.015006	0.005492
0.128000	0.014898	0.005561
0.129000	0.015095	0.005630
0.130000	0.015521	0.005699
0.131000	0.015913	0.005768
0.132000	0.016123	0.005838
0.133000	0.016151	0.005907
0.134000	0.016090	0.005977
0.135000	0.016076	0.006047
0.136000	0.016223	0.006116
0.137000	0.016527	0.006187
0.138000	0.016721	0.006257
0.139000	0.016474	0.006327
0.140000	0.015766	0.006398
0.141000	0.014828	0.006468
0.142000	0.013855	0.006539
0.143000	0.012903	0.006610
0.144000	0.011979	0.006681
0.145000	0.011177	0.006752
0.146000	0.010597	0.006823
0.147000	0.010097	0.006894
0.148000	0.009452	0.006965
0.149000	0.008707	0.007037
0.150000	0.008096	0.007108
0.151000	0.007734	0.007180
0.152000	0.007623	0.007252
0.153000	0.007777	0.007323
0.154000	0.008181	0.007395
0.155000	0.008756	0.007467
0.156000	0.009407	0.007539
0.157000	0.010161	0.007611
0.158000	0.011086	0.007683
0.159000	0.012015	0.007755
0.160000	0.012724	0.007828
0.161000	0.013286	0.007900
0.162000	0.013741	0.007972
0.163000	0.013741	0.008045
0.164000	0.012970	0.008117
0.165000	0.011586	0.008189
0.166000	0.010054	0.008262
0.167000	0.008718	0.008334
0.168000	0.007673	0.008407
0.169000	0.006920	0.008479
0.170000	0.006474	0.008552
0.171000	0.006361	0.008625
0.172000	0.006572	0.008697
0.173000	0.007015	0.008770
0.174000	0.007609	0.008842
0.175000	0.008458	0.008915
0.176000	0.009735	0.008988
0.177000	0.011499	0.009060
0.178000	0.013777	0.009133
0.179000	0.016610	0.009205
0.180000	0.020037	0.009278
0.181000	0.024115	0.009351
0.182000	0.028782	0.009423
0.183000	0.033609	0.009496
0.184000	0.038003	0.009568
0.185000	0.041699	0.009641
0.186000	0.044760	0.009713
0.187000	0.047215	0.009786
0.188000	0.048941	0.009858
0.189000	0.049804	0.009931
0.190000	0.049737	0.010003
0.191000	0.048728	0.010076
0.192000	0.046827	0.010148
0.193000	0.044214	0.010220
0.194000	0.041162	0.010292
0.195000	0.037863	0.010364
0.196000	0.034411	0.010437
0.197000	0.030977	0.010509
0.198000	0.027783	0.010581
0.199000	0.024985	0.010653
0.200000	0.022801	0.010724
0.201000	0.021513	0.010796
0.202000	0.021037	0.010868
0.203000	0.020954	0.010940
0.204000	0.021074	0.011011
0.205000	0.021543	0.011083
0.206000	0.022524	0.011154
0.207000	0.024065	0.011226
0.208000	0.026091	0.011297
0.209000	0.028429	0.011368
0.210000	0.030864	0.011439
0.211000	0.033104	0.011510
0.212000	0.034789	0.011581
0.213000	0.035597	0.011652
0.214000	0.035390	0.011723
0.215000	0.034250	0.011794
0.216000	0.032299	0.011864
0.217000	0.029602	0.011935
0.218000	0.026262	0.012005
0.219000	0.022536	0.012076
0.220000	0.018620	0.012146
0.221000	0.014349	0.012216
0.222000	0.009507	0.012286
0.223000	0.004324	0.012356
0.224000	-0.000587	0.012426
0.225000	-0.004688	0.012495
0.226000	-0.007847	0.012565
0.227000	-0.010275	0.012634
0.228000	-0.012232	0.012704
0.229000	-0.013844	0.012773
0.230000	-0.015142	0.012842
0.231000	-0.016092	0.012911
0.232000	-0.016648	0.012980
0.233000	-0.016883	0.013049
0.234000	-0.016837	0.013118
0.235000	-0.016414	0.013186
0.236000	-0.015664	0.013254
0.237000	-0.014772	0.013323
0.238000	-0.013822	0.013391
0.239000	-0.012986	0.013459
0.240000	-0.012621	0.013527
0.241000	-0.013026	0.013595
0.242000	-0.014235	0.013662
0.243000	-0.016009	0.013730
0.244000	-0.018005	0.013797
0.245000	-0.019935	0.013864
0.246000	-0.021673	0.013931
0.247000	-0.023281	0.013998
0.248000	-0.024904	0.014065
0.249000	-0.026634	0.014132
0.250000	-0.028454	0.014198
0.251000	-0.030202	0.014264
0.252000	-0.031583	0.014331
0.253000	-0.032417	0.014397
0.254000	-0.032879	0.014462
0.255000	-0.033297	0.014528
0.256000	-0.033716	0.014594
0.257000	-0.033784	0.014659
0.258000	-0.033306	0.014724
0.259000	-0.032689	0.014789
0.260000	-0.032508	0.014854
0.261000	-0.033016	0.014919
0.262000	-0.034209	0.014984
0.263000	-0.036007	0.015048
0.264000	-0.038400	0.015112
0.265000	-0.041525	0.015177
0.266000	-0.045525	0.015241
0.267000	-0.050448	0.015304
0.268000	-0.056156	0.015368
0.269000	-0.062209	0.015431
0.270000	-0.068194	0.015495
0.271000	-0.073738	0.015558
0.272000	-0.078041	0.015621
0.273000	-0.080215	0.015683
0.274000	-0.079803	0.015746
0.275000	-0.076498	0.015808
0.276000	-0.069909	0.015871
0.277000	-0.059615	0.015933
0.278000	-0.045051	0.015995
0.279000	-0.025465	0.016056
0.280000	-0.000299	0.016118
0.281000	0.030497	0.016179
0.282000	0.066773	0.016240
0.283000	0.108492	0.016301
0.284000	0.155599	0.016362
0.285000	0.207921	0.016423
0.286000	0.265215	0.016483
0.287000	0.327253	0.016543
0.288000	0.393960	0.016603
0.289000	0.465283	0.016663
0.290000	0.540703	0.016723
0.291000	0.619146	0.016782
0.292000	0.699403	0.016841
0.293000	0.780323	0.016901
0.294000	0.860742	0.016959
0.295000	0.939459	0.017018
0.296000	1.015253	0.017077
0.297000	1.086757	0.017135
0.298000	1.152244	0.017193
0.299000	1.209689	0.017251
0.300000	1.256885	0.017309
0.301000	1.291385	0.017366
0.302000	1.310640	0.017424
0.303000	1.312319	0.017481
0.304000	1.294599	0.017538
0.305000	1.256512	0.017594
0.306000	1.198211	0.017651
0.307000	1.120839	0.017707
0.308000	1.025938	0.017763
0.309000	0.915097	0.017819
0.310000	0.790164	0.017875
0.311000	0.653617	0.017931
0.312000	0.508575	0.017986
0.313000	0.358460	0.018041
0.314000	0.206733	0.018096
0.315000	0.056773	0.018151
0.316000	-0.088121	0.018205
0.317000	-0.224633	0.018260
0.318000	-0.349642	0.018314
0.319000	-0.460599	0.018368
0.320000	-0.555590	0.018421
0.321000	-0.633290	0.018475
0.322000	-0.693216	0.018528
0.323000	-0.735783	0.018581
0.324000	-0.762031	0.018634
0.325000	-0.773647	0.018687
0.326000	-0.772785	0.018739
0.327000	-0.761631	0.018792
0.328000	-0.742367	0.018844
0.329000	-0.717208	0.018896
0.330000	-0.688281	0.018947
0.331000	-0.657582	0.018999
0.332000	-0.626791	0.019050
0.333000	-0.597049	0.019101
0.334000	-0.569076	0.019152
0.335000	-0.543388	0.019203
0.336000	-0.520292	0.019253
0.337000	-0.499942	0.019303
0.338000	-0.482539	0.019354
0.339000	-0.468215	0.019403
0.340000	-0.456694	0.019453
0.341000	-0.447324	0.019502
0.342000	-0.439323	0.019552
0.343000	-0.432012	0.019601
0.344000	-0.425069	0.019649
0.345000	-0.418538	0.019698
0.346000	-0.412452	0.019746
0.347000	-0.406613	0.019795
0.348000	-0.400776	0.019843
0.349000	-0.394791	0.019890
0.350000	-0.388531	0.019938
0.351000	-0.381853	0.019985
0.352000	-0.374754	0.020032
0.353000	-0.367583	0.020079
0.354000	-0.360833	0.020126
0.355000	-0.354638	0.020172
0.356000	-0.348719	0.020219
0.357000	-0.342700	0.020265
0.358000	-0.336493	0.020311
0.359000	-0.330351	0.020356
0.360000	-0.324488	0.020402
0.361000	-0.318904	0.020447
0.362000	-0.313496	0.020492
0.363000	-0.308180	0.020537
0.364000	-0.302919	0.020582
0.365000	-0.297664	0.020626
0.366000	-0.292356	0.020670
0.367000	-0.286976	0.020714
0.368000	-0.281541	0.020758
0.369000	-0.276151	0.020802
0.370000	-0.270952	0.020845
0.371000	-0.265951	0.020889
0.372000	-0.261015	0.020932
0.373000	-0.256020	0.020974
0.374000	-0.250932	0.021017
0.375000	-0.245797	0.021059
0.376000	-0.240629	0.021102
0.377000	-0.235361	0.021144
0.378000	-0.230097	0.021185
0.379000	-0.225112	0.021227
0.380000	-0.220431	0.021268
0.381000	-0.215819	0.021309
0.382000	-0.211139	0.021350
0.383000	-0.206417	0.021391
0.384000	-0.201658	0.021432
0.385000	-0.196752	0.021472
0.386000	-0.191556	0.021512
0.387000	-0.186074	0.021552
0.388000	-0.180633	0.021592
0.389000	-0.175625	0.021631
0.390000	-0.171150	0.021671
0.391000	-0.166998	0.021710
0.392000	-0.162794	0.021749
0.393000	-0.158311	0.021788
0.394000	-0.153701	0.021826
0.395000	-0.149250	0.021864
0.396000	-0.145052	0.021903
0.397000	-0.141020	0.021941
0.398000	-0.137060	0.021978
0.399000	-0.133245	0.022016
0.400000	-0.129716	0.022053
0.401000	-0.126443	0.022090
0.402000	-0.123246	0.022127
0.403000	-0.119969	0.022164
0.404000	-0.116660	0.022200
0.405000	-0.113600	0.022237
0.406000	-0.110914	0.022273
0.407000	-0.108326	0.022309
0.408000	-0.105459	0.022345
0.409000	-0.102243	0.022380
0.410000	-0.098917	0.022416
0.411000	-0.095677	0.022451
0.412000	-0.092654	0.022486
0.413000	-0.090051	0.022521
0.414000	-0.087889	0.022555
0.415000	-0.085899	0.022590
0.416000	-0.083859	0.022624
0.417000	-0.081774	0.022658
0.418000	-0.079733	0.022692
0.419000	-0.077739	0.022725
0.420000	-0.075727	0.022759
0.421000	-0.073672	0.022792
0.422000	-0.071611	0.022825
0.423000	-0.069546	0.022858
0.424000	-0.067370	0.022890
0.425000	-0.064930	0.022923
0.426000	-0.062270	0.022955
0.427000	-0.059700	0.022987
0.428000	-0.057394	0.023019
0.429000	-0.055163	0.023051
0.430000	-0.052779	0.023082
0.431000	-0.050252	0.023114
0.432000	-0.047699	0.023145
0.433000	-0.045068	0.023176
0.434000	-0.042122	0.023206
0.435000	-0.038918	0.023237
0.436000	-0.035989	0.023267
0.437000	-0.033664	0.023298
0.438000	-0.031710	0.023328
0.439000	-0.029731	0.023357
0.440000	-0.027583	0.023387
0.441000	-0.025434	0.023417
0.442000	-0.023512	0.023446
0.443000	-0.021852	0.023475
0.444000	-0.020362	0.023504
0.445000	-0.018967	0.023533
0.446000	-0.017632	0.023561
0.447000	-0.016364	0.023589
0.448000	-0.015134	0.023618
0.449000	-0.013832	0.023646
0.450000	-0.012394	0.023673
0.451000	-0.010772	0.023701
0.452000	-0.009032	0.023729
0.453000	-0.007472	0.023756
0.454000	-0.006273	0.023783
0.455000	-0.005284	0.023810
0.456000	-0.004222	0.023837
0.457000	-0.002869	0.023863
0.458000	-0.001157	0.023890
0.459000	0.000840	0.023916
0.460000	0.002990	0.023942
0.461000	0.005187	0.023968
0.462000	0.007343	0.023993
0.463000	0.009341	0.024019
0.464000	0.011067	0.024044
0.465000	0.012571	0.024069
0.466000	0.014066	0.024094
0.467000	0.015690	0.024119
0.468000	0.017427	0.024144
0.469000	0.019220	0.024168
