trial_type,trial_index,time_elapsed,internal_node_id,rt,phase,biome,feedback,salience,salience_mode,salience_count,comparison_type,forced_creeper_trial,choice,choice_rt,salience_set,highlight_pattern,consider_set,consider_target_n,consider_toggles,outcome_kind,outcome_payout,creeper_severity,focal_cf_block,focal_cf_kind,focal_cf_payout,cf_max_diff,cf_best_alt_value,best_alt_block,best_alt_kind,best_alt_payout,best_alt_adjacent,n_adjacent_highvalue,revealed_blocks,regret_revealed_blocks,wallet_after,response,participant_id,prolific_pid,prolific_study_id,prolific_session_id,date_iso,tally_by_biome,tally_by_feedback,tally_by_salience,tally_by_salience_mode,tally_by_comparison_type,tally_total
html-keyboard-response,0,3000,0.0-0.0,,biome_cue,overworld,partial,none,,0,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,0,7009,0.0-1.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,0,9884,0.0-2.0,2875,choice,overworld,partial,none,,0,,false,1,2875,[],,[],,[],,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,0,11884,0.0-3.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,0,14665,0.0-4.0,2781,outcome,overworld,partial,none,,0,,false,1,,,,,,,coal,1,,,,,,,14,diamond,4,false,0,,,1,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,0,19665,0.0-5.0,,counterfactual_feedback,overworld,partial,none,,0,,false,,,,,,,,,,,,,,,,14,diamond,4,false,0,[],,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
survey-html-form,0,23275,0.0-6.0,3610,regret_probes,overworld,partial,none,,0,,false,1,,,,,,,coal,1,,,,,,,14,diamond,4,false,0,,[],1,"{""regret_chosen"":24}",SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,0,27752,0.0-7.0,,post_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,1,30752,0.0-8.0,,biome_cue,deep,full,a_lot,consider,8,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,1,35277,0.0-9.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
