participant,sim_id,trial_index,trial_biome,chosen_block,chosen_row,points,cf_diff,belief_chosen_row,belief_biome_overworld,belief_biome_cave,belief_biome_deep,feedback,salience,salience_mode,forced_creeper_trial
S000,0,0,overworld,8,2,1.0,,0.9932666666666666,0.9831666666666666,1.4007,1.8538000000000001,partial,none,,False
S000,0,1,deep,8,2,2.0,1.0,1.9512666666666665,0.9831666666666666,1.4007,1.8781666666666665,full,little,highlight,False
S000,0,2,cave,8,2,0.0,,0.4669,0.9831666666666666,1.1672500000000001,1.8781666666666665,partial,none,,True
S000,0,3,deep,0,0,2.0,,1.9512666666666665,0.9831666666666666,1.1672500000000001,1.9025333333333334,partial,none,,False
S000,0,4,deep,0,0,0.0,1.7142857142857142,1.17076,0.9831666666666666,1.1672500000000001,1.7074066666666665,full,a_lot,consider,False
S000,0,5,cave,0,0,0.0,,0.4669,0.9831666666666666,0.9338,1.7074066666666665,partial,none,,True
S000,0,6,overworld,8,2,1.0,,0.9959600000000001,0.98384,0.9338,1.7074066666666665,full,none,,False
S000,0,7,overworld,12,3,1.0,,0.9932666666666666,0.9872066666666667,0.9338,1.7074066666666665,partial,none,,False
S000,0,8,cave,12,3,0.0,,0.4669,0.9872066666666667,0.7003499999999999,1.7074066666666665,partial,none,,False
S000,0,9,deep,12,3,4.0,-2.25,3.2845999999999997,0.9872066666666667,0.7003499999999999,2.0651066666666664,full,a_lot,highlight,False
S000,0,10,overworld,0,0,0.0,,0.3266,0.8239066666666667,0.7003499999999999,2.0651066666666664,partial,none,,False
S000,0,11,overworld,4,1,1.0,,0.9932666666666666,0.8272733333333333,0.7003499999999999,2.0651066666666664,partial,none,,False
S000,0,12,deep,12,3,4.0,,3.57076,0.8272733333333333,0.7003499999999999,2.1366466666666666,partial,none,,False
S000,0,13,overworld,12,3,1.0,,0.9959600000000001,0.8279466666666667,0.7003499999999999,2.1366466666666666,full,none,,False
S000,0,14,deep,8,2,4.0,,2.77076,0.8279466666666667,0.7003499999999999,2.34152,partial,none,,False
S000,0,15,deep,4,1,0.0,3.0,0.6179333333333333,0.8279466666666667,0.7003499999999999,2.0325533333333334,full,little,consider,False
S000,0,16,cave,8,2,1.0,,0.6801400000000001,0.8279466666666667,0.75366,2.0325533333333334,full,none,,False
S000,0,17,cave,4,1,0.0,,0.4669,0.8279466666666667,0.52021,2.0325533333333334,partial,none,,False
S000,0,18,overworld,8,2,4.0,-2.571428571428571,1.8542571428571428,1.0425209523809524,0.52021,2.0325533333333334,full,a_lot,consider,False
S000,0,19,deep,12,3,3.0,-0.625,3.407685714285714,1.0425209523809524,0.52021,1.991784761904762,full,a_lot,highlight,False
S000,0,20,deep,12,3,3.0,,3.3170888888888888,1.0425209523809524,0.52021,1.9691355555555556,partial,none,,False
S000,0,21,cave,8,2,2.0,,1.0572428571428572,1.0425209523809524,0.6144857142857143,1.9691355555555556,partial,none,,False
S000,0,22,deep,8,2,2.0,-2.0,2.550542857142857,1.0425209523809524,0.6144857142857143,1.9140812698412697,full,little,consider,False
S000,0,23,cave,8,2,0.0,1.5,0.8223,1.0425209523809524,0.55575,1.9140812698412697,full,little,highlight,False
S000,0,24,cave,8,2,0.0,,0.6727909090909091,1.0425209523809524,0.5183727272727272,1.9140812698412697,partial,none,,False
S000,0,25,cave,4,1,2.0,,1.08014,1.0425209523809524,0.6716827272727273,1.9140812698412697,partial,none,,False
S000,0,26,overworld,8,2,1.0,1.0,1.664422222222222,0.9950622222222222,0.6716827272727273,1.9140812698412697,full,little,consider,False
S000,0,27,overworld,9,2,2.0,-1.1428571428571428,1.7254363636363634,1.0103157575757575,0.6716827272727273,1.9140812698412697,full,a_lot,consider,False
S000,0,28,overworld,8,2,0.0,,1.4599846153846152,0.9439528205128205,0.6716827272727273,1.9140812698412697,partial,none,,True
S000,0,29,deep,8,2,2.0,,2.4281999999999995,0.9439528205128205,0.6716827272727273,1.8834955555555555,full,none,,False
